frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
6.699999999999999289e+00,9.300000000000000000e+01,4.167575468681148050e+04,1.454200705818596589e+03,3.489320629576472821e-02
6.799999999999999822e+00,9.600000000000000000e+01,4.166864320238165965e+04,1.477489882830241868e+03,3.545807516827888251e-02
6.899999999999999467e+00,9.800000000000000000e+01,4.166315697998036194e+04,1.468405731103734752e+03,3.524470629552439033e-02
6.999999999999999112e+00,1.000000000000000000e+02,4.165913644467540871e+04,1.450800075787284186e+03,3.482549566801487750e-02
7.099999999999999645e+00,1.020000000000000000e+02,4.165760916423518938e+04,1.439628259634654341e+03,3.455859057966859799e-02
7.199999999999999289e+00,1.050000000000000000e+02,4.165858849498479685e+04,1.436700805929809349e+03,3.448750564611115232e-02
7.299999999999999822e+00,1.070000000000000000e+02,4.165995492291249684e+04,1.436740158889871964e+03,3.448731909452166372e-02
7.399999999999999467e+00,1.100000000000000000e+02,4.166100323323538032e+04,1.439721835188925752e+03,3.455802125380352807e-02
7.499999999999999112e+00,1.120000000000000000e+02,4.166336778326390049e+04,1.450359716453024475e+03,3.481138932401982300e-02
7.599999999999999645e+00,1.150000000000000000e+02,4.166783219448097225e+04,1.460176927490520029e+03,3.504326600614286052e-02
7.699999999999999289e+00,1.180000000000000000e+02,4.167258099220348959e+04,1.457702943120513510e+03,3.497990545373790700e-02
7.799999999999998934e+00,1.200000000000000000e+02,4.167564134625555744e+04,1.445065259767996622e+03,3.467409770042643308e-02
7.899999999999999467e+00,1.230000000000000000e+02,4.167668711231816997e+04,1.436484738903788866e+03,3.446734465799740355e-02
7.999999999999999112e+00,1.260000000000000000e+02,4.167710669887671247e+04,1.449988292586719808e+03,3.479100176178497039e-02
8.099999999999999645e+00,1.290000000000000000e+02,4.167798175448148686e+04,1.492089082766894535e+03,3.580041594999871374e-02
8.199999999999999289e+00,1.320000000000000000e+02,4.167934221981792507e+04,1.543309639185468995e+03,3.702816688051395466e-02
8.299999999999998934e+00,1.350000000000000000e+02,4.167993400323305832e+04,1.569620878165514341e+03,3.765890987360395042e-02
8.399999999999998579e+00,1.380000000000000000e+02,4.167892893602558615e+04,1.545702716936152001e+03,3.708595101636857905e-02
8.500000000000000000e+00,1.410000000000000000e+02,4.167804766858190123e+04,1.480445616461629243e+03,3.552099244748527923e-02
8.599999999999999645e+00,1.450000000000000000e+02,4.167849814069047716e+04,1.414233369987588048e+03,3.393196571559953245e-02
8.699999999999999289e+00,1.480000000000000000e+02,4.167789524529166374e+04,1.373177239675834244e+03,3.294737489967086708e-02
8.799999999999998934e+00,1.510000000000000000e+02,4.167315066973463399e+04,1.345961823321197016e+03,3.229805766278932844e-02
8.899999999999998579e+00,1.550000000000000000e+02,4.166555687915262388e+04,1.306442206156764541e+03,3.135544809699743196e-02
9.000000000000000000e+00,1.590000000000000000e+02,4.166015753931771178e+04,1.267336151534151213e+03,3.042081994860615021e-02
9.099999999999999645e+00,1.620000000000000000e+02,4.165942143916265195e+04,1.259456502412203690e+03,3.023221300016015398e-02
9.199999999999999289e+00,1.660000000000000000e+02,4.166019120627516531e+04,1.287515300139058581e+03,3.090517020827123623e-02
9.299999999999998934e+00,1.700000000000000000e+02,4.165898686019365414e+04,1.334049590800524811e+03,3.202309252689116564e-02
9.399999999999998579e+00,1.740000000000000000e+02,4.165651106708955922e+04,1.379629060369403305e+03,3.311916972949205396e-02
9.500000000000000000e+00,1.780000000000000000e+02,4.165657223360371427e+04,1.423432468365466093e+03,3.417065764276219081e-02
9.599999999999999645e+00,1.820000000000000000e+02,4.166192498368087399e+04,1.461376708798847631e+03,3.507703279124222556e-02
9.699999999999999289e+00,1.860000000000000000e+02,4.167021725915536081e+04,1.478008343477305971e+03,3.546917776514767195e-02
9.799999999999998934e+00,1.910000000000000000e+02,4.167570252860895562e+04,1.460108810608867543e+03,3.503501373747814479e-02
9.899999999999998579e+00,1.950000000000000000e+02,4.167540384690544306e+04,1.424185031942305386e+03,3.417327489312516065e-02
1.000000000000000000e+01,2.000000000000000000e+02,4.167094365284401283e+04,1.401937637328588380e+03,3.364304991525928629e-02
1.009999999999999964e+01,2.040000000000000000e+02,4.166602579543281900e+04,1.410267499392710761e+03,3.384694058215880624e-02
1.019999999999999929e+01,2.090000000000000000e+02,4.166233688120227453e+04,1.429287307987999611e+03,3.430646034243180209e-02
1.029999999999999893e+01,2.140000000000000000e+02,4.165975398905864859e+04,1.425239019187726399e+03,3.421141227963193227e-02
1.039999999999999858e+01,2.190000000000000000e+02,4.165940934251194994e+04,1.400592964262610167e+03,3.362008694716069057e-02
